user_id,name,age,gender,location,latitude,longitude,interests,about_me,relationship_goal,personality,MBTI,education_level,occupation,zodiac_sign,height_cm,body_type,languages_spoken,dating_preference,photo_count,is_verified,is_premium_user,daily_active_minutes,last_login,likes_received,likes,blocked,swipes,messages_sent,response_rate,signup_date,negative_samples
247,Carlos Wood,49,Non-binary,Columbus,42.331427,-84.387978,"gaming, music, technology",Action if opportunity short about high page cell century only.,Friends,Ambivert,ESFJ,PhD,"Engineer, site",Scorpio,193,Curvy,"English, French",Women,2,True,False,10,2024-03-24,49,"[51, 998, 422, 100, 736, 624, 671, 37, 992, 345]","[755, 455, 322, 672, 869, 599, 846]",157,5,0.59,2023-05-07,"[679, 697, 17, 118, 827, 45, 766, 352, 342, 411, 621, 437, 906, 688, 867, 857, 916, 996, 5, 250]"
248,Debra Dunn,48,F,San Jose,32.715736,-112.074036,"technology, sports, reading",Plant force face military arm training glass media nature large dream.,Long-term,Ambivert,ENFP,Bachelor’s,"Designer, television/film set",Leo,156,Athletic,Mandarin,Women,6,True,False,59,2024-03-09,36,"[371, 224, 92, 477, 915, 916, 290, 176, 330, 417]","[791, 932, 789, 292, 475, 269]",259,78,0.29,2023-05-15,"[201, 328, 971, 649, 589, 635, 464, 198, 911, 132, 563, 251, 393, 555, 664, 488, 789, 254, 890, 483]"
249,Alison Marquez,41,Non-binary,Boston,40.712776,-112.074036,"photography, sports, technology",Author view single sound require happy fill section build pretty everybody.,Friends,Introvert,ISFJ,PhD,"Conservation officer, nature",Pisces,185,Curvy,"French, Hindi, Mandarin",Men,2,True,False,3,2024-03-27,54,"[201, 724, 704, 710, 997, 520, 979, 263]","[117, 419, 638, 645, 464, 484, 930, 905, 594]",271,53,0.94,2023-02-21,"[567, 129, 619, 713, 30, 249, 665, 191, 894, 950, 50, 640, 963, 653, 687, 294]"
250,Christine Mccormick,34,M,Dallas,25.76168,-81.694361,"gaming, art, travel",Newspaper series door between class friend in wait interview table.,Long-term,Ambivert,INTP,Bachelor’s,"Physicist, medical",Sagittarius,195,Curvy,"English, Hindi, French",Everyone,2,False,False,3,2024-03-28,53,"[211, 715, 634, 318, 161, 367, 953, 136, 499, 866]","[194, 349, 477, 572, 984, 43, 846, 6, 450, 16]",342,80,0.46,2023-06-16,"[363, 565, 103, 624, 265, 458, 232, 373, 68, 127, 558, 1000, 765, 290, 365, 438, 51, 524, 588, 57]"
251,Courtney Mathews,45,F,San Antonio,34.052235,-117.161087,"reading, cooking, gaming",Child nothing idea art risk will writer message.,Casual Dating,Introvert,ENTP,Bachelor’s,"Geneticist, molecular",Pisces,153,Athletic,"English, Mandarin, Hindi",Women,4,True,False,27,2024-03-30,95,"[988, 35, 439, 605, 230, 533, 475, 319, 350, 45, 240, 503, 994]","[419, 625, 642, 335, 208, 266, 923, 686, 851, 763]",259,81,0.53,2024-02-12,"[609, 606, 40, 225, 559, 457, 342, 450, 495, 974, 556, 238, 201, 662, 113, 919, 927, 708, 331, 748, 772, 808, 303, 490, 104, 955]"
252,Amy Stein,18,Non-binary,Boston,37.338208,-94.578568,"cooking, travel, music",All thousand field avoid become past year month total successful half.,Casual Dating,Ambivert,ENFP,PhD,"Development worker, international aid",Pisces,194,Athletic,"Hindi, English",Women,4,True,True,79,2024-03-12,38,"[178, 992, 678, 409, 590, 942]","[383, 655, 363, 63, 793, 168]",296,31,0.61,2023-04-17,"[850, 389, 175, 658, 147, 315, 479, 814, 341, 109, 166, 230]"
253,Allen Alvarez,29,M,San Antonio,29.760427,-94.578568,"travel, sports, gaming",Stage party particularly fire minute too perform force.,Long-term,Ambivert,ENTP,Bachelor’s,Teaching laboratory technician,Gemini,155,Slim,"Mandarin, Hindi",Everyone,2,True,False,63,2024-03-15,8,"[591, 446, 182, 850, 183, 459, 313, 657]","[603, 62, 728, 510, 516, 956, 382, 128, 410]",89,10,0.66,2023-01-17,"[956, 639, 636, 69, 875, 788, 259, 703, 566, 857, 75, 523, 870, 221, 846, 605]"
254,Jeffrey Roberts,42,F,San Diego,38.581572,-80.19179,"photography, fitness, reading",Just figure material born sell myself.,Long-term,Extrovert,INFJ,High School,Translator,Aquarius,171,Athletic,"Mandarin, French, English",Men,1,False,False,82,2024-03-17,66,"[503, 140, 281, 423, 577, 234, 115]","[397, 202, 539, 935, 71, 279, 343, 214, 878]",112,55,0.83,2024-02-04,"[384, 654, 79, 382, 480, 460, 48, 952, 829, 864, 10, 546, 51, 844]"
255,Toni Johnson,36,Non-binary,Miami,39.768403,-82.457177,"technology, sports, reading",Blood word less year write enter across game stand whether list material.,Friends,Extrovert,ENTP,Master’s,Broadcast journalist,Libra,170,Athletic,"Mandarin, Hindi",Men,1,False,False,99,2024-03-17,40,"[850, 882, 67, 477, 273]","[690, 34, 652, 185, 728, 907]",490,84,0.92,2023-11-30,"[881, 777, 171, 994, 527, 957, 19, 297, 206, 133]"
256,Olivia Armstrong MD,33,F,Indianapolis,27.950575,-84.387978,"sports, gaming, art",Term even treat dog determine up.,Casual Dating,Introvert,ENFP,High School,Art therapist,Pisces,179,Athletic,"Mandarin, English",Women,4,False,False,87,2024-03-15,80,"[538, 783, 829, 580, 826, 565]","[569, 373, 9, 38, 988, 14, 215, 126]",287,3,0.32,2023-04-05,"[831, 594, 872, 226, 216, 544, 988, 982, 327, 728, 768, 635]"
257,Laura Daniels,24,M,Miami,33.448376,-94.578568,"technology, photography, music",Management fire author item himself doctor exactly them building.,Networking,Extrovert,INFJ,High School,Copy,Capricorn,182,Athletic,"English, French, Mandarin",Everyone,5,True,False,98,2024-03-14,32,"[584, 597, 566, 767, 971, 855, 858, 308, 359, 605, 303, 151, 410, 742]","[954, 260, 884, 918, 926, 566]",50,6,0.43,2023-07-19,"[130, 106, 997, 600, 405, 328, 1, 890, 744, 809, 128, 473, 67, 45, 407, 88, 620, 242, 513, 846, 348, 388, 892, 277, 905, 880, 312, 782]"
258,Kevin Dorsey,21,Non-binary,Detroit,39.768403,-78.638176,"gaming, technology, photography",Professional that college term lawyer series.,Casual Dating,Ambivert,INTP,Bachelor’s,"Engineer, biomedical",Leo,188,Athletic,Mandarin,Men,1,False,False,97,2024-03-13,3,"[461, 761, 161, 346, 505, 186, 408, 121, 315, 362, 370]","[126, 346, 9, 334, 477, 839, 306, 359, 958]",48,51,0.7,2024-03-08,"[579, 991, 676, 807, 208, 677, 650, 678, 308, 913, 953, 646, 314, 883, 447, 422, 268, 7, 586, 118, 49, 854]"
259,Debbie White,26,F,San Jose,28.538336,-83.045753,"fitness, travel, art",Hard front others your partner maybe.,Casual Dating,Introvert,ENTP,High School,"Social research officer, government",Taurus,164,Average,"Mandarin, Hindi, French",Men,2,True,False,91,2024-03-26,99,"[558, 807, 983, 392, 573, 410, 398, 173]","[77, 938, 937, 447, 231, 464, 40, 300, 713, 475]",476,49,0.42,2023-09-15,"[539, 427, 279, 8, 923, 278, 23, 185, 536, 741, 547, 827, 477, 586, 110, 50]"
260,Tanya Krause,38,M,Columbus,40.760779,-121.4944,"photography, gaming, sports",Then back create site visit outside.,Casual Dating,Extrovert,ISFJ,PhD,Sales promotion account executive,Libra,192,Curvy,"Hindi, Mandarin, Spanish",Men,4,False,True,47,2024-03-07,10,"[196, 33, 133, 253, 653, 51, 560]","[179, 914, 303, 399, 594, 198, 421, 187, 237]",351,98,0.51,2023-10-21,"[930, 45, 507, 254, 780, 9, 816, 20, 80, 286, 666, 744, 258, 981]"
261,John Hodges,25,Non-binary,Houston,33.448376,-83.045753,"photography, fitness, sports",Concern party economic bill close moment fear side upon big.,Networking,Introvert,ISTJ,High School,"Copywriter, advertising",Scorpio,176,Slim,"Mandarin, French",Women,1,False,False,18,2024-03-22,22,"[408, 610, 939, 180, 976, 271, 367, 508, 235, 940, 460, 824, 259, 296, 300]","[593, 931, 35, 949, 911, 135, 584]",164,51,0.31,2023-12-25,"[622, 998, 764, 542, 779, 292, 88, 723, 242, 822, 633, 184, 728, 608, 569, 936, 609, 618, 252, 812, 245, 395, 468, 733, 803, 467, 883, 330, 89, 777]"
262,Michael Wright,34,M,San Antonio,42.360081,-111.891047,"fitness, technology, art",Common southern value color true claim also end professional prevent audience appear.,Long-term,Ambivert,ENFP,Master’s,"Conservator, furniture",Gemini,164,Curvy,"Hindi, Mandarin, Spanish",Everyone,4,True,False,56,2024-03-24,68,"[217, 995, 237, 127, 934, 812, 275, 306, 732, 563, 989, 291, 192]","[52, 807, 702, 356, 605, 842, 999, 507, 285, 268]",50,27,0.89,2023-04-24,"[52, 960, 738, 853, 41, 851, 515, 609, 48, 439, 723, 378, 234, 65, 553, 463, 26, 405, 316, 731, 804, 702, 904, 126, 496, 166]"
263,Julie Wolfe,41,F,Denver,30.267153,-75.165222,"fitness, reading, photography",Big risk add certainly less nearly test training million debate huge.,Networking,Ambivert,ISFJ,Bachelor’s,Geophysical data processor,Aries,168,Slim,Hindi,Everyone,6,True,False,7,2024-03-05,40,"[182, 328, 135, 580, 486, 470, 676, 463, 549, 895, 372, 418, 689]","[663, 133, 984, 204, 191]",182,40,0.85,2023-10-28,"[16, 390, 52, 176, 455, 634, 999, 193, 619, 679, 369, 609, 598, 387, 843, 457, 728, 26, 126, 290, 149, 94, 682, 800, 33, 89]"
264,Sean Harris,47,F,Minneapolis,37.338208,-78.638176,"sports, gaming, cooking",As own set all bed million end when.,Friends,Ambivert,INFJ,Bachelor’s,Estate agent,Leo,152,Curvy,Spanish,Everyone,4,False,False,52,2024-03-10,70,"[267, 364, 280, 706, 8, 290, 416, 934, 227, 277, 153, 350, 816, 216]","[684, 391, 780, 521, 459, 211, 576, 805, 855, 941]",482,21,0.84,2023-08-02,"[540, 442, 580, 731, 916, 13, 519, 784, 479, 942, 288, 172, 954, 538, 668, 807, 678, 323, 254, 890, 555, 717, 898, 265, 472, 21, 262, 879]"
265,Edward Daniel,35,M,Philadelphia,40.712776,-94.578568,"photography, technology, gaming",Simply few pull condition student store paper Congress movement conference during force start.,Casual Dating,Ambivert,ESTP,High School,Garment/textile technologist,Cancer,168,Athletic,"French, Spanish",Men,1,True,False,103,2024-03-02,41,"[27, 1, 635, 883, 201, 601, 767, 590, 490, 686, 948, 152, 65, 649]","[177, 257, 172, 119, 734, 567]",139,51,0.45,2023-07-11,"[322, 314, 319, 42, 956, 493, 745, 240, 135, 824, 128, 633, 363, 547, 990, 947, 339, 958, 23, 589, 562, 213, 974, 578, 362, 9, 968, 763]"
266,Matthew Mitchell,26,Non-binary,Seattle,42.331427,-83.045753,"art, cooking, sports",Mr receive tend bill three guess arm can when professor since both.,Friends,Introvert,ISFJ,Bachelor’s,Actuary,Virgo,177,Average,French,Men,2,False,False,78,2024-03-26,21,"[10, 616, 362, 868, 399, 316, 606]","[80, 964, 532, 705, 930, 3, 83, 601, 76]",173,15,0.51,2023-06-22,"[125, 687, 228, 519, 862, 770, 588, 835, 2, 746, 210, 922, 132, 625]"
267,Sarah Ford,31,Non-binary,Sacramento,36.169941,-95.369804,"gaming, travel, cooking",Alone no defense adult sing choice government response.,Casual Dating,Ambivert,ENFP,Bachelor’s,Press sub,Gemini,168,Athletic,Mandarin,Women,4,False,False,111,2024-03-23,89,"[795, 662, 492, 426, 766, 672, 787, 700, 476, 651, 314, 982, 178, 207, 464]","[708, 216, 918, 805, 182, 497, 36, 459, 681, 982]",321,71,0.29,2024-03-01,"[946, 895, 725, 152, 20, 428, 779, 609, 698, 57, 276, 208, 813, 730, 532, 252, 110, 12, 7, 648, 753, 45, 83, 62, 820, 932, 250, 938, 831, 201]"
268,Christopher Austin,44,Non-binary,Atlanta,27.950575,-121.4944,"reading, gaming, art",Film class require local range toward dinner parent pretty figure.,Networking,Introvert,ISFJ,Bachelor’s,Financial manager,Leo,167,Slim,Spanish,Women,6,True,False,70,2024-03-04,60,"[664, 730, 863, 361, 233, 849, 172, 241, 738]","[587, 580, 343, 869, 920, 45, 966, 898]",328,70,0.83,2023-07-15,"[393, 270, 590, 39, 8, 85, 257, 632, 325, 508, 89, 710, 524, 362, 222, 722, 30, 935]"
269,Brent Bowman,23,Non-binary,Cleveland,25.76168,-75.165222,"gaming, fitness, photography",President however church section improve west international baby rise how order bank.,Networking,Extrovert,ISFJ,High School,Illustrator,Cancer,181,Average,"Hindi, Spanish",Everyone,3,False,False,96,2024-03-12,24,"[504, 417, 34, 500, 27, 165, 770, 967]","[117, 480, 503, 579, 373, 763, 468, 516, 802]",133,78,0.81,2023-05-25,"[116, 398, 581, 806, 937, 259, 947, 591, 337, 936, 303, 161, 730, 949, 113, 653]"
270,Ashley Hughes,50,Non-binary,San Antonio,39.961176,-118.243683,"travel, art, cooking",Professional beat someone hear executive large data image relationship.,Casual Dating,Introvert,ENFP,PhD,Research scientist (medical),Pisces,150,Average,English,Women,2,False,False,117,2024-03-05,70,"[963, 532, 821, 920, 573, 924, 318, 233, 122, 564, 883]","[36, 205, 824, 275, 43, 16]",217,77,0.59,2023-05-12,"[580, 170, 947, 74, 467, 158, 568, 938, 872, 445, 279, 762, 181, 909, 428, 53, 211, 16, 945, 186, 739, 713]"
271,Joel Peterson,49,F,Sacramento,35.779591,-83.045753,"sports, music, cooking",Professional practice area theory statement option plant nature.,Friends,Introvert,ESTP,High School,"Surveyor, rural practice",Leo,160,Slim,Mandarin,Women,3,False,False,15,2024-03-26,77,"[391, 242, 51, 156, 504, 173, 878]","[305, 309, 380, 447, 975, 953]",415,9,0.93,2023-01-24,"[349, 953, 772, 427, 377, 945, 479, 815, 151, 344, 960, 139, 375, 372]"
272,David Castillo,23,Non-binary,Minneapolis,38.581572,-94.578568,"technology, photography, sports",Organization over shake approach see other tend rise nor media toward stuff why.,Casual Dating,Extrovert,ESFJ,High School,Emergency planning/management officer,Sagittarius,175,Average,French,Everyone,4,False,False,14,2024-03-30,66,"[186, 438, 341, 265, 894, 886]","[585, 554, 836, 543, 338]",233,76,0.72,2023-08-14,"[856, 170, 391, 931, 785, 335, 845, 307, 794, 955, 936, 500]"
273,Tammie Colon,26,F,Detroit,45.515232,-81.694361,"music, gaming, photography",Staff sell off cold well southern everyone might support.,Long-term,Ambivert,ISFJ,PhD,Financial controller,Aquarius,179,Curvy,"Hindi, French, Spanish",Everyone,5,True,False,48,2024-03-12,74,"[555, 664, 421, 457, 927, 324, 135, 846, 61]","[405, 569, 68, 758, 367, 952, 441, 865]",33,2,0.89,2023-04-13,"[757, 554, 646, 38, 628, 393, 795, 10, 333, 298, 159, 384, 900, 57, 561, 974, 695, 177]"
274,Megan Brown,26,Non-binary,Phoenix,32.776665,-95.369804,"fitness, technology, photography",Fall between final trip region senior resource opportunity short range consider.,Casual Dating,Extrovert,ISTJ,High School,Lobbyist,Libra,189,Curvy,"French, Hindi",Everyone,4,True,True,74,2024-03-03,1,"[457, 223, 360, 947, 106, 682, 561, 229, 782, 614]","[813, 968, 54, 775, 11, 215]",53,61,0.81,2023-02-08,"[263, 540, 274, 397, 64, 555, 255, 19, 387, 79, 747, 467, 886, 138, 982, 357, 796, 411, 31, 418]"
275,Alfred Melton,50,F,Salt Lake City,33.448376,-97.743061,"technology, music, reading",Quite nearly garden fact on yet choice a.,Networking,Introvert,ENFP,Bachelor’s,"Psychotherapist, child",Sagittarius,176,Slim,"Mandarin, Spanish, Hindi",Men,3,False,False,15,2024-03-25,44,"[235, 723, 787, 174, 724, 136, 400, 323]","[880, 854, 950, 616, 8]",263,33,0.25,2024-01-10,"[745, 412, 131, 533, 483, 286, 215, 995, 79, 173, 772, 786, 146, 357, 125, 204]"
276,Tammy Mendoza,23,Non-binary,San Jose,40.712776,-93.265015,"fitness, travel, photography",Coach cover condition pattern face herself minute environment news film even service.,Long-term,Ambivert,ESFJ,Master’s,Contractor,Virgo,175,Curvy,"Hindi, English",Men,1,False,False,73,2024-03-13,66,"[241, 255, 116, 137, 756, 32]","[855, 405, 763, 907, 684, 582, 417, 257]",137,80,0.3,2024-02-07,"[389, 817, 661, 362, 584, 722, 765, 883, 402, 659, 74, 673]"
277,Dr. Kelly Wright MD,19,F,Dallas,44.977753,-115.139832,"travel, cooking, music",Despite camera sister everyone its himself education list.,Casual Dating,Extrovert,INFJ,Bachelor’s,Advertising copywriter,Taurus,194,Athletic,French,Everyone,5,True,False,23,2024-03-14,100,"[11, 399, 269, 655, 6, 364, 663, 58, 85, 621, 915, 859, 773, 603]","[346, 190, 80, 384, 250, 345]",424,85,0.36,2023-01-28,"[992, 426, 721, 519, 317, 209, 348, 18, 475, 79, 786, 489, 481, 469, 397, 573, 670, 555, 455, 75, 953, 242, 454, 434, 43, 880, 363, 414]"
278,Peter Edwards,48,F,Salt Lake City,32.776665,-84.387978,"technology, photography, travel",Foot unit could between ten day exist energy point its factor exist.,Long-term,Introvert,ENFP,Bachelor’s,Drilling engineer,Cancer,154,Curvy,"Mandarin, French",Everyone,4,False,False,21,2024-03-12,3,"[67, 476, 806, 687, 781, 899, 168]","[889, 955, 566, 225, 937, 688, 214, 16, 514, 382]",367,23,0.34,2023-10-16,"[475, 119, 683, 730, 760, 855, 903, 330, 930, 856, 39, 235, 434, 181]"
279,Lindsey Rodriguez,28,M,Portland,36.169941,-75.165222,"cooking, reading, art",Simple science head rich back skill tax degree a husband seat street against.,Friends,Extrovert,ISTJ,Bachelor’s,Trade union research officer,Scorpio,182,Slim,"Hindi, Spanish",Everyone,1,False,False,27,2024-03-01,58,"[459, 710, 935, 100, 274, 919, 578, 996, 779, 855, 795]","[346, 856, 849, 312, 322, 593]",239,7,0.36,2024-02-16,"[212, 286, 581, 169, 814, 970, 634, 638, 792, 929, 492, 2, 352, 879, 187, 787, 969, 79, 519, 376, 189, 280]"
280,John Mitchell,28,M,Kansas City,25.76168,-96.796989,"reading, technology, art",Affect study others race maintain hold.,Friends,Extrovert,INTP,Bachelor’s,Restaurant manager,Leo,192,Athletic,Hindi,Everyone,6,True,False,22,2024-03-07,43,"[775, 627, 855, 923, 507, 494, 612]","[658, 952, 635, 751, 125, 970, 342, 72, 521, 206]",117,80,0.92,2023-09-30,"[957, 92, 906, 3, 767, 41, 973, 638, 403, 537, 350, 363, 806, 176]"
281,Rose Gutierrez,26,F,Detroit,39.739236,-122.332069,"travel, gaming, music",Since prove test discussion lead decision he discover father above along indeed likely.,Friends,Ambivert,INFJ,High School,Magazine journalist,Taurus,166,Athletic,French,Men,2,False,False,5,2024-03-15,22,"[35, 331, 155, 252, 804, 803, 271, 317, 798, 927]","[934, 466, 231, 348, 926, 236]",34,34,0.46,2023-08-09,"[228, 1000, 363, 554, 448, 162, 621, 818, 841, 438, 284, 925, 280, 165, 982, 267, 966, 24, 975, 908]"
282,Rachel Simmons,38,F,Sacramento,38.581572,-94.578568,"fitness, sports, music",Image Democrat administration on data magazine eat more a town care strong.,Long-term,Ambivert,ENFP,Master’s,"Administrator, local government",Aquarius,154,Average,Spanish,Men,6,True,False,82,2024-03-30,8,"[365, 378, 284, 943, 950, 759, 501, 755, 396, 866, 711]","[490, 459, 180, 198, 440, 360, 790, 238, 113]",135,74,0.85,2023-09-05,"[452, 546, 770, 443, 682, 401, 973, 254, 325, 743, 696, 594, 919, 72, 785, 110, 326, 237, 134, 331, 24, 503]"
283,Jordan Ingram,38,Non-binary,Salt Lake City,39.739236,-80.19179,"art, technology, sports",Including behavior player east worry together cover especially discover thousand.,Friends,Introvert,ESTP,PhD,Ophthalmologist,Taurus,156,Athletic,"Spanish, English",Everyone,3,False,False,87,2024-03-25,49,"[961, 979, 326, 711, 444, 306, 704, 44, 869, 332]","[916, 12, 867, 34, 723, 125, 775, 728, 298, 130]",225,66,0.97,2024-01-06,"[820, 874, 866, 633, 193, 496, 376, 805, 312, 981, 285, 508, 914, 843, 816, 91, 924, 364, 679, 610]"
284,Margaret Hooper,44,M,Denver,29.760427,-97.743061,"music, reading, sports",Apply crime inside view leader because provide discover recent painting collection summer small.,Networking,Extrovert,ISFJ,PhD,Press sub,Sagittarius,167,Slim,"English, Mandarin, Spanish",Everyone,4,False,False,100,2024-03-31,30,"[802, 340, 811, 36, 779, 713]","[53, 192, 56, 896, 298, 267, 725, 799]",198,27,0.54,2023-04-15,"[838, 452, 179, 479, 692, 217, 967, 263, 459, 863, 378, 987]"
285,Raymond Flores,39,Non-binary,Dallas,27.950575,-82.998794,"cooking, reading, gaming",Team represent there usually relate heart.,Casual Dating,Extrovert,ESFJ,Master’s,Leisure centre manager,Libra,155,Average,"English, Spanish",Men,2,True,False,33,2024-03-03,56,"[52, 336, 172, 51, 603, 213, 435]","[429, 999, 386, 178, 373, 364, 883, 34]",346,35,0.99,2023-09-05,"[506, 719, 910, 621, 438, 707, 431, 271, 532, 619, 424, 684, 267, 21]"
286,Daniel Chan,22,M,Portland,27.950575,-111.891047,"music, gaming, reading",Fish sort spend itself under speech.,Casual Dating,Introvert,ISFJ,PhD,"Engineer, site",Pisces,183,Slim,"English, Spanish",Women,5,False,False,103,2024-03-31,72,"[444, 806, 2, 564, 539, 778, 236, 820, 197, 182, 757, 988]","[394, 384, 670, 933, 714]",14,100,0.96,2023-06-06,"[874, 100, 868, 320, 223, 548, 390, 12, 206, 86, 286, 810, 782, 280, 45, 814, 7, 200, 469, 422, 293, 914, 284, 6]"
287,Justin Harris,30,Non-binary,Salt Lake City,29.424122,-122.678448,"technology, art, music",Former or senior create conference team more trade choose far world.,Friends,Extrovert,ISFJ,PhD,Futures trader,Taurus,192,Slim,"Spanish, French",Men,4,True,False,101,2024-03-10,93,"[747, 539, 209, 230, 247, 414, 790, 797, 482, 161, 422, 299, 238]","[111, 911, 821, 988, 963]",69,93,0.95,2023-01-16,"[766, 855, 777, 232, 359, 885, 325, 200, 211, 323, 87, 915, 852, 219, 387, 312, 564, 160, 108, 35, 557, 990, 430, 755, 756, 658]"
288,Amber Robinson,43,Non-binary,Minneapolis,47.606209,-80.19179,"technology, cooking, sports",Always reflect western under money during join later number.,Networking,Ambivert,ISTJ,Bachelor’s,Careers adviser,Capricorn,186,Curvy,French,Women,6,False,True,35,2024-03-17,91,"[530, 805, 49, 170, 219, 462, 756, 719, 923, 918, 900, 216]","[898, 878, 286, 741, 410, 826, 856, 895, 372, 816]",142,99,0.42,2023-02-27,"[628, 760, 951, 736, 701, 393, 841, 816, 85, 385, 293, 378, 989, 139, 254, 592, 259, 251, 647, 741, 540, 63, 956, 609]"
289,Jessica Butler,18,Non-binary,Columbus,29.424122,-96.796989,"art, music, travel",Compare explain stuff year big east toward firm.,Casual Dating,Extrovert,ENFP,Master’s,Chief Technology Officer,Sagittarius,163,Athletic,"French, Hindi, English",Women,6,False,False,4,2024-03-01,95,"[404, 289, 989, 384, 478, 553, 926]","[600, 400, 546, 579, 892]",224,11,0.63,2023-12-18,"[127, 49, 214, 7, 942, 416, 960, 557, 458, 539, 347, 20, 784, 730]"
290,Randy Sanchez,37,Non-binary,Las Vegas,36.169941,-75.165222,"photography, cooking, music",Could stop face upon safe similar lose all reveal small already whole then.,Casual Dating,Extrovert,ENTP,Master’s,Barrister's clerk,Gemini,151,Slim,"Mandarin, English, French",Everyone,6,True,False,32,2024-03-07,88,"[56, 779, 505, 453, 221, 459, 16]","[503, 194, 984, 670, 995, 442, 199]",175,89,0.44,2023-09-29,"[184, 565, 418, 224, 764, 319, 624, 942, 64, 207, 444, 347, 390, 660]"
291,Samuel Thomas,43,Non-binary,Chicago,41.49932,-122.332069,"music, fitness, sports",Look work always father always body him yeah account necessary.,Friends,Ambivert,ISTJ,High School,"Development worker, international aid",Gemini,174,Athletic,Mandarin,Everyone,4,True,False,66,2024-03-12,21,"[997, 602, 675, 506, 236, 835, 291, 748, 414, 706, 841, 363]","[662, 924, 745, 838, 472, 580]",233,41,0.56,2023-12-21,"[277, 364, 180, 11, 198, 859, 353, 199, 322, 281, 450, 542, 570, 218, 641, 846, 603, 510, 417, 810, 650, 147, 869, 754]"
292,Ryan Leonard,31,M,Philadelphia,44.977753,-82.998794,"cooking, photography, sports",Expect mean protect message billion performance tell democratic sea whose.,Networking,Ambivert,ESFJ,Master’s,Careers adviser,Cancer,170,Slim,"Mandarin, Spanish, Hindi",Everyone,2,True,False,27,2024-03-03,44,"[582, 858, 362, 547, 782, 682, 824, 285, 993, 868, 213, 628]","[43, 837, 307, 500, 252, 606, 97, 592, 514, 393]",479,17,0.94,2024-01-02,"[95, 430, 924, 82, 609, 440, 62, 465, 391, 284, 770, 985, 86, 671, 335, 800, 264, 75, 395, 458, 432, 400, 379, 550]"
293,Taylor Mcgee,29,Non-binary,Tampa,39.952583,-97.743061,"technology, travel, gaming",Since stock party prove education far direction its travel huge especially maintain mention.,Networking,Extrovert,ISTJ,PhD,Museum/gallery curator,Leo,160,Curvy,French,Men,1,True,False,111,2024-03-27,63,"[438, 176, 870, 448, 333, 159, 700, 413, 163, 394, 388, 585, 564, 149]","[565, 886, 851, 852, 712]",294,21,0.63,2023-09-06,"[437, 155, 752, 478, 548, 879, 491, 109, 41, 445, 995, 157, 122, 577, 324, 905, 261, 739, 212, 483, 30, 59, 695, 52, 468, 376, 654, 910]"
294,Sarah Scott,22,F,Miami,47.606209,-121.4944,"fitness, travel, technology",Always feeling school reduce million question part traditional.,Networking,Introvert,ENFP,Bachelor’s,Claims inspector/assessor,Libra,192,Athletic,"Mandarin, Spanish, English",Everyone,3,False,False,14,2024-03-25,32,"[712, 787, 491, 307, 25, 876, 316, 587, 793, 554, 735, 476, 481, 267]","[78, 490, 659, 503, 479, 455, 968, 164, 356, 397]",329,56,0.31,2024-03-25,"[252, 938, 605, 115, 944, 303, 977, 867, 993, 194, 322, 839, 666, 5, 689, 604, 854, 98, 785, 265, 31, 17, 967, 903, 80, 231, 595, 647]"
295,David Johnson,20,M,Houston,41.49932,-122.678448,"travel, music, cooking",Still then consider run here action power option already sometimes doctor second.,Casual Dating,Extrovert,ENTP,Bachelor’s,Radiation protection practitioner,Gemini,164,Athletic,"French, Mandarin, English",Everyone,4,True,True,77,2024-03-11,7,"[636, 832, 910, 327, 311, 191, 950, 878, 521, 718, 891, 721, 948, 796, 509]","[794, 696, 249, 333, 154, 699, 221, 702]",153,87,0.6,2024-03-13,"[392, 379, 214, 390, 94, 335, 395, 447, 344, 376, 518, 21, 121, 582, 87, 863, 100, 502, 298, 471, 431, 1, 831, 460, 574, 216, 519, 517, 259, 95]"
296,Jennifer Maldonado,23,F,Portland,41.878113,-86.158068,"travel, art, fitness",Until before side sense key school know.,Friends,Ambivert,ISTJ,High School,Artist,Scorpio,169,Slim,"French, English",Everyone,6,True,False,60,2024-03-15,6,"[743, 693, 94, 1, 589, 203, 132]","[225, 563, 697, 962, 43, 670, 308, 257, 900, 25]",304,6,0.47,2023-09-12,"[177, 764, 385, 678, 282, 799, 783, 539, 517, 493, 273, 813, 428, 691]"
297,Jeffrey Wade,37,F,Salt Lake City,39.768403,-115.139832,"reading, art, gaming",Through decide need enough former indicate decision vote in no reality necessary.,Casual Dating,Introvert,ENTP,Master’s,Paramedic,Taurus,177,Slim,English,Women,3,True,False,93,2024-03-01,43,"[546, 308, 148, 323, 831, 379, 864, 388, 752, 32, 86]","[615, 573, 226, 570, 998, 115, 540, 509, 439, 702]",264,58,0.24,2023-07-22,"[538, 204, 595, 989, 14, 64, 40, 174, 953, 735, 63, 486, 28, 802, 327, 768, 891, 524, 225, 936, 556, 460]"
